config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
rstm-cgl,ReadWriteN/m256,2,5,106448593,5000009163,21289679,0,1
zstm-ala,ReadWriteN/m256,4,5,26329602,5000609243,5265278,9150937,1
rstm-norec,ReadWriteN/m256,4,5,18213037,5000003416,3642604,7992247,1
rstm-cgl,ReadWriteN/m256,4,5,95251461,5000027442,19050187,0,1
zstm-ala,ReadWriteN/m256,8,5,14256253,5000539037,2850943,13542866,1
rstm-norec,ReadWriteN/m256,8,5,12851070,5000002531,2570212,11870945,1
rstm-cgl,ReadWriteN/m256,8,5,80942472,5000035820,16188378,0,1
zstm-ala,ReadWriteN/m256,16,5,28904433,5000592099,5780202,6829328,1
rstm-norec,ReadWriteN/m256,16,5,9825877,5000007366,1965172,16800648,1
rstm-cgl,ReadWriteN/m256,16,5,58669127,5000041641,11733727,0,1
zstm-ala,Disjoint/16-8-2,1,5,100821639,5001111072,20159847,0,1
rstm-norec,Disjoint/16-8-2,1,5,91571571,5000005007,18314295,0,1
rstm-cgl,Disjoint/16-8-2,1,5,85778373,5000004475,17155659,0,1
zstm-ala,Disjoint/16-8-2,2,5,78399021,5000870098,15677076,0,1
rstm-norec,Disjoint/16-8-2,2,5,72496927,5000002790,14499377,0,1
rstm-cgl,Disjoint/16-8-2,2,5,80266401,5000002746,16053271,0,1
zstm-ala,Disjoint/16-8-2,4,5,60337240,5002409394,12061635,0,1
rstm-norec,Disjoint/16-8-2,4,5,55404556,5000003439,11080903,0,1
rstm-cgl,Disjoint/16-8-2,4,5,81208157,5000033190,16241523,0,1
zstm-ala,Disjoint/16-8-2,8,5,35915546,5002540510,7179461,0,1
rstm-norec,Disjoint/16-8-2,8,5,35069093,5000003918,7013813,0,1
rstm-cgl,Disjoint/16-8-2,8,5,76141574,5000031354,15228219,0,1
zstm-ala,Disjoint/16-8-2,16,5,25022401,5002572224,5001906,0,1
rstm-norec,Disjoint/16-8-2,16,5,20989680,5000007329,4197929,0,1
rstm-cgl,Disjoint/16-8-2,16,5,47725740,5000057130,9545038,0,1
