config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
rstm-norec,Disjoint/16-8-2,8,1,29198890,5000002269,5839775,0,1
rstm-cgl,Disjoint/16-8-2,8,1,77237325,5000048631,15447314,0,1
zstm-ala,Disjoint/16-8-2,16,1,22498186,5000333880,4499336,0,1
rstm-norec,Disjoint/16-8-2,16,1,23991788,5000006080,4798351,0,1
rstm-cgl,Disjoint/16-8-2,16,1,61829869,5000065108,12365812,0,1
zstm-ala,Counter,1,2,500621632,5000112449,100122074,0,1
rstm-norec,Counter,1,2,316738388,5000001619,63347657,0,1
rstm-cgl,Counter,1,2,211679424,5000007003,42335825,0,1
zstm-ala,Counter,2,2,90583387,5001047113,18112884,17526175,1
rstm-norec,Counter,2,2,45787073,5000001538,9157411,15193050,1
rstm-cgl,Counter,2,2,102498913,5000002667,20499771,0,1
zstm-ala,Counter,4,2,54304280,5002266406,10855935,14062463,1
rstm-norec,Counter,4,2,24426574,5000003203,4885311,20801653,1
rstm-cgl,Counter,4,2,85900446,5000002403,17180080,0,1
zstm-ala,Counter,8,2,31920131,5001773545,6381762,20468712,1
rstm-norec,Counter,8,2,14318861,5000002990,2863770,31214712,1
rstm-cgl,Counter,8,2,76256692,5000043110,15251206,0,1
zstm-ala,Counter,16,2,23418230,5002761992,4681060,17436281,1
rstm-norec,Counter,16,2,11916355,5000006189,2383268,31446087,1
rstm-cgl,Counter,16,2,53865492,5000066168,10772955,0,1
zstm-ala,ReadNWrite1/m256,1,2,235686264,5000158598,47135757,0,1
rstm-norec,ReadNWrite1/m256,1,2,151913071,5000007560,30382568,0,1
rstm-cgl,ReadNWrite1/m256,1,2,122663404,5000002643,24532667,0,1
zstm-ala,ReadNWrite1/m256,2,2,66309261,5001884369,13256856,1556885,1
rstm-norec,ReadNWrite1/m256,2,2,46157269,4999999559,9231454,824575,1
rstm-cgl,ReadNWrite1/m256,2,2,112235816,5000026446,22447044,0,1
zstm-ala,ReadNWrite1/m256,4,2,42586793,5000591154,8516351,2888719,1
rstm-norec,ReadNWrite1/m256,4,2,23622076,5000003141,4724412,1433831,1
